Album,Artist,Genre,Favorite Songs,Rating
GLOW ON,Turnstile,Hardcore Punk / Dream Pop,"MYSTERY, UNDERWATER BOI, HOLIDAY",10
Mercurial World,Magdalena Bay,Synthpop / Dance Pop,"Secrets (Your Fire), Hysterical Us, You Lose!",9
Butterfly 3000,King Gizzard & The Lizard Wizard,Psychedelic Pop,"Shanghai, Yours, Catching Smoke",8.5
CALL ME IF YOU GET LOST,"Tyler, The Creator",West Coast Hip Hop,"SWEET / I THOUGHT YOU WANTED TO DANCE, WUSYANAME, CORSO",8.5
An Evening With Silk Sonic,Silk Sonic,Soul / Funk,"Leave The Door Open, Skate, Smokin Out The Window",8.5
The Turning Wheel,SPELLLING,Art Pop,"Little Deer, Always, Turning Wheel",8
Happier Than Ever,Billie Eilish,Alternative Pop,"Getting Older, Happier Than Ever, Halley's Comet",8
Daddy's Home,St. Vincent,Psychedelic Soul,"The Melting Of The Sun, Pay Your Way In Pain, Somebody Like Me",7.5
Jubilee,Japanese Breakfast,Indie Pop,"Paprika, Be Sweet, Kokomo IN",7.5
The Fool,Bladee,Cloud Rap / Trap,"BBY, egobaby, I Think...",7.5
Sling,Clairo,Soft Rock / Singer-Songwriter,"Amoeba, Bambi, Harbor",7
The Melodic Blue,Baby Keem,Trap,"family ties, trademark usa, 16",7
Formula of Love: O+T=<3,TWICE,K-Pop,"SCIENTIST, The Feels, F.I.L.A",7
Valentine,Snail Mail,Indie Rock,"Valentine, Ben Franklin, Mia",7
